Time,Average(A)
(us),(V)
-0.00029952,0.3933626
0.00370048,0.399823
0.00770048,0.4063426
0.01170048,0.4129146
0.01570048,0.419546
0.01970048,0.4262311
0.02370048,0.4329766
0.02770048,0.4397767
0.03170048,0.446632
0.03570048,0.4535387
0.03970048,0.4605005
0.04370048,0.4675164
0.04770048,0.4745854
0.05170048,0.4817104
0.05570048,0.4888826
0.05970048,0.4961081
0.06370048,0.5033855
0.06770048,0.5107139
0.07170048,0.5180888
0.07570048,0.5255165
0.07970048,0.5329926
0.08370048,0.5405137
0.08770048,0.5480843
0.09170048,0.5557027
0.09570048,0.5633696
0.09970048,0.571079
0.10370048,0.5788333
0.10770048,0.5866328
0.11170048,0.5944753
0.11570048,0.6023603
0.11970048,0.6102908
0.12370048,0.6182593
0.12770048,0.626269
0.13170048,0.634321
0.13570048,0.6424116
0.13970048,0.6505367
0.14370048,0.658703
0.14770048,0.6669024
0.15170048,0.6751431
0.15570048,0.6834134
0.15970048,0.6917225
0.16370048,0.7000633
0.16770048,0.7084353
0.17170048,0.7168434
0.17570048,0.7252766
0.17970048,0.7337433
0.18370048,0.7422413
0.18770048,0.7507648
0.19170048,0.7593173
0.19570048,0.7678958
0.19970048,0.7764995
0.20370048,0.7851292
0.20770048,0.7937777
0.21170048,0.8024533
0.21570048,0.8111497
0.21970048,0.819867
0.22370048,0.8286051
0.22770048,0.8373607
0.23170048,0.8461343
0.23570048,0.8549277
0.23970048,0.8637344
0.24370048,0.8725584
0.24770048,0.8813965
0.25170048,0.8902462
0.25570048,0.8991083
0.25970048,0.9079827
0.26370048,0.9168637
0.26770048,0.9257569
0.27170048,0.9346585
0.27570048,0.9435666
0.27970048,0.9524802
0.28370048,0.9614005
0.28770048,0.9703242
0.29170048,0.9792536
0.29570048,0.9881812
0.29970048,0.9971103
0.30370048,1.00604
0.30770048,1.01497
0.31170048,1.023899
0.31570048,1.032822
0.31970048,1.041744
0.32370047,1.05066
0.32770047,1.05957
0.33170047,1.068473
0.33570047,1.077367
0.33970047,1.086254
0.34370047,1.09513
0.34770047,1.103994
0.35170047,1.112847
0.35570047,1.12169
0.35970047,1.130518
0.36370047,1.139327
0.36770047,1.148125
0.37170047,1.156904
0.37570047,1.165663
0.37970047,1.174408
0.38370047,1.183128
0.38770047,1.191832
0.39170047,1.200512
0.39570047,1.209171
0.39970047,1.217804
0.40370047,1.226413
0.40770047,1.235001
0.41170047,1.243559
0.41570047,1.252097
0.41970047,1.2606
0.42370047,1.269072
0.42770047,1.277519
0.43170047,1.285931
0.43570047,1.294314
0.43970047,1.302663
0.44370047,1.310982
0.44770047,1.319264
0.45170047,1.327511
0.45570047,1.335721
0.45970047,1.343899
0.46370047,1.352036
0.46770047,1.360137
0.47170047,1.368196
0.47570047,1.376219
0.47970047,1.384202
0.48370047,1.392144
0.48770047,1.400037
0.49170047,1.407894
0.49570047,1.415705
0.49970047,1.423471
0.50370047,1.431195
0.50770047,1.438875
0.51170047,1.446505
0.51570047,1.454093
0.51970047,1.461627
0.52370047,1.469119
0.52770047,1.476562
0.53170047,1.483951
0.53570047,1.491291
0.53970047,1.498586
0.54370047,1.505834
0.54770047,1.513023
0.55170047,1.520164
0.55570047,1.527248
0.55970047,1.534281
